Index,category index,brand,link
32,4,Redmi,https://www.amazon.in/s?bbn=6612025031&rh=n%3A6612025031%2Cp_89%3ARedmi&dc&qid=1687369681&rnid=3837712031&ref=lp_6612025031_nr_p_89_4
33,4,Belkin,https://www.amazon.in/s?bbn=6612025031&rh=n%3A6612025031%2Cp_89%3ABelkin&dc&qid=1687369681&rnid=3837712031&ref=lp_6612025031_nr_p_89_5
34,4,Spigen,https://www.amazon.in/s?bbn=6612025031&rh=n%3A6612025031%2Cp_89%3ASpigen&dc&qid=1687369681&rnid=3837712031&ref=lp_6612025031_nr_p_89_6
35,6,Xiaomi,https://www.amazon.in/s?bbn=1375458031&rh=n%3A1375458031%2Cp_89%3AXiaomi&dc&qid=1687369686&rnid=3837712031&ref=lp_1375458031_nr_p_89_0
36,6,Apple,https://www.amazon.in/s?bbn=1375458031&rh=n%3A1375458031%2Cp_89%3AApple&dc&qid=1687369686&rnid=3837712031&ref=lp_1375458031_nr_p_89_1
37,6,Redmi,https://www.amazon.in/s?bbn=1375458031&rh=n%3A1375458031%2Cp_89%3ARedmi&dc&qid=1687369686&rnid=3837712031&ref=lp_1375458031_nr_p_89_2
38,6,Samsung,https://www.amazon.in/s?bbn=1375458031&rh=n%3A1375458031%2Cp_89%3ASamsung&dc&qid=1687369686&rnid=3837712031&ref=lp_1375458031_nr_p_89_3
39,6,Oppo,https://www.amazon.in/s?bbn=1375458031&rh=n%3A1375458031%2Cp_89%3AOppo&dc&qid=1687369686&rnid=3837712031&ref=lp_1375458031_nr_p_89_4
40,6,Lenovo,https://www.amazon.in/s?bbn=1375458031&rh=n%3A1375458031%2Cp_89%3ALenovo&dc&qid=1687369686&rnid=3837712031&ref=lp_1375458031_nr_p_89_5
41,6,realme,https://www.amazon.in/s?bbn=1375458031&rh=n%3A1375458031%2Cp_89%3Arealme&dc&qid=1687369686&rnid=3837712031&ref=lp_1375458031_nr_p_89_6
42,7,Fire-Boltt,https://www.amazon.in/s?bbn=11599648031&rh=n%3A11599648031%2Cp_89%3AFire-Boltt&dc&qid=1687369693&rnid=3837712031&ref=lp_11599648031_nr_p_89_0
43,7,Noise,https://www.amazon.in/s?bbn=11599648031&rh=n%3A11599648031%2Cp_89%3ANoise&dc&qid=1687369693&rnid=3837712031&ref=lp_11599648031_nr_p_89_1
44,7,beatXP,https://www.amazon.in/s?bbn=11599648031&rh=n%3A11599648031%2Cp_89%3AbeatXP&dc&qid=1687369693&rnid=3837712031&ref=lp_11599648031_nr_p_89_2
45,7,boAt,https://www.amazon.in/s?bbn=11599648031&rh=n%3A11599648031%2Cp_89%3AboAt&dc&qid=1687369693&rnid=3837712031&ref=lp_11599648031_nr_p_89_3
46,7,Fastrack,https://www.amazon.in/s?bbn=11599648031&rh=n%3A11599648031%2Cp_89%3AFastrack&dc&qid=1687369693&rnid=3837712031&ref=lp_11599648031_nr_p_89_4
47,7,LS LAPSTER Quality Assured,https://www.amazon.in/s?bbn=11599648031&rh=n%3A11599648031%2Cp_89%3ALS+LAPSTER+Quality+Assured&dc&qid=1687369693&rnid=3837712031&ref=lp_11599648031_nr_p_89_5
48,7,Amazfit,https://www.amazon.in/s?bbn=11599648031&rh=n%3A11599648031%2Cp_89%3AAmazfit&dc&qid=1687369693&rnid=3837712031&ref=lp_11599648031_nr_p_89_6
49,9,STRIFF,https://www.amazon.in/s?bbn=2454172031&rh=n%3A2454172031%2Cp_89%3ASTRIFF&dc&qid=1687369698&rnid=3837712031&ref=lp_2454173031_nr_p_89_0
50,9,Scotch,https://www.amazon.in/s?bbn=2454172031&rh=n%3A2454172031%2Cp_89%3AScotch&dc&qid=1687369698&rnid=3837712031&ref=lp_2454173031_nr_p_89_1
51,9,Pidilite,https://www.amazon.in/s?bbn=2454172031&rh=n%3A2454172031%2Cp_89%3APidilite&dc&qid=1687369698&rnid=3837712031&ref=lp_2454173031_nr_p_89_2
52,9,Callas,https://www.amazon.in/s?bbn=2454172031&rh=n%3A2454172031%2Cp_89%3ACallas&dc&qid=1687369698&rnid=3837712031&ref=lp_2454173031_nr_p_89_3
53,9,HP,https://www.amazon.in/s?bbn=2454172031&rh=n%3A2454172031%2Cp_89%3AHP&dc&qid=1687369698&rnid=3837712031&ref=lp_2454173031_nr_p_89_4
54,9,Classmate,https://www.amazon.in/s?bbn=2454172031&rh=n%3A2454172031%2Cp_89%3AClassmate&dc&qid=1687369698&rnid=3837712031&ref=lp_2454173031_nr_p_89_5
55,9,Portronics,https://www.amazon.in/s?bbn=2454172031&rh=n%3A2454172031%2Cp_89%3APortronics&dc&qid=1687369698&rnid=3837712031&ref=lp_2454173031_nr_p_89_6
56,10,McAfee,https://www.amazon.in/s?bbn=976451031&rh=n%3A976451031%2Cp_89%3AMcAfee&dc&qid=1687369701&rnid=3837712031&ref=lp_976452031_nr_p_89_0
57,10,Quick Heal,https://www.amazon.in/s?bbn=976451031&rh=n%3A976451031%2Cp_89%3AQuick+Heal&dc&qid=1687369701&rnid=3837712031&ref=lp_976452031_nr_p_89_1
58,10,K7 Security,https://www.amazon.in/s?bbn=976451031&rh=n%3A976451031%2Cp_89%3AK7+Security&dc&qid=1687369701&rnid=3837712031&ref=lp_976452031_nr_p_89_2
59,10,BitDefender,https://www.amazon.in/s?bbn=976451031&rh=n%3A976451031%2Cp_89%3ABitDefender&dc&qid=1687369701&rnid=3837712031&ref=lp_976452031_nr_p_89_3
60,10,Kaspersky,https://www.amazon.in/s?bbn=976451031&rh=n%3A976451031%2Cp_89%3AKaspersky&dc&qid=1687369701&rnid=3837712031&ref=lp_976452031_nr_p_89_4
61,10,Microsoft,https://www.amazon.in/s?bbn=976451031&rh=n%3A976451031%2Cp_89%3AMicrosoft&dc&qid=1687369701&rnid=3837712031&ref=lp_976452031_nr_p_89_5
62,10,Net Protector,https://www.amazon.in/s?bbn=976451031&rh=n%3A976451031%2Cp_89%3ANet+Protector&dc&qid=1687369701&rnid=3837712031&ref=lp_976452031_nr_p_89_6
